user,platform,tunnel_in,tunnel_out,amount,type1,ip,type2,ip_3,tm_diff
Train_13770,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,185784,45a1168437c708ff,,11a213398ee0c623,,19 days 09:02:45.000000000
Train_13770,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,391769,45a1168437c708ff,,11a213398ee0c623,,19 days 09:03:58.000000000
Train_08351,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,27740,674e8d5860bc033d,f10a09fe9e522a47,11a213398ee0c623,ee386d6f9fe45d0d,18 days 11:06:49.000000000
Train_08351,42573d7287a8c9c2,,6ee790756007e69a,36689,f67d4b5a05a1352a,,,,26 days 09:52:51.000000000
Train_08351,42573d7287a8c9c2,,6ee790756007e69a,30746,f67d4b5a05a1352a,,,,26 days 07:50:05.000000000
Train_08351,42573d7287a8c9c2,,6ee790756007e69a,33728,f67d4b5a05a1352a,,,,10 days 10:52:00.000000000
Train_12939,42573d7287a8c9c2,,6ee790756007e69a,36689,f67d4b5a05a1352a,,,,11 days 08:32:17.000000000
Train_12939,71b24e4fd9a658ee,b2e7fa260df4998d,6ee790756007e69a,36689,2a2edd435db5ac70,a1d00c9b61da1d7f,2a2edd435db5ac70,d0bab2c048faca49,11 days 08:32:17.000000000
Train_12939,71b24e4fd9a658ee,b2e7fa260df4998d,6ee790756007e69a,27740,2a2edd435db5ac70,a1d00c9b61da1d7f,2a2edd435db5ac70,d0bab2c048faca49,11 days 08:32:17.000000000
Train_12939,42573d7287a8c9c2,,6ee790756007e69a,24798,f67d4b5a05a1352a,,,,11 days 08:32:18.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,131785,45a1168437c708ff,,11a213398ee0c623,,30 days 09:35:35.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,131706,45a1168437c708ff,,11a213398ee0c623,,30 days 09:33:51.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,289571,443b0fd0860c21b6,1cbc28f8257ccef0,11a213398ee0c623,4c231a5b2a36ea4d,30 days 09:34:20.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,30746,45a1168437c708ff,,11a213398ee0c623,,30 days 09:35:09.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,286648,45a1168437c708ff,,11a213398ee0c623,,30 days 09:35:09.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,30746,45a1168437c708ff,,11a213398ee0c623,,30 days 09:35:35.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,30746,45a1168437c708ff,,11a213398ee0c623,,30 days 09:33:51.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,269601,f67d4b5a05a1352a,65dbe65c407f6eea,11a213398ee0c623,9257556fc4b76edb,28 days 09:48:56.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,248797,45a1168437c708ff,,11a213398ee0c623,,28 days 09:51:21.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,54093,45a1168437c708ff,,11a213398ee0c623,,28 days 09:51:21.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,45785,45a1168437c708ff,,11a213398ee0c623,,28 days 09:51:21.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,136134,443b0fd0860c21b6,1cbc28f8257ccef0,11a213398ee0c623,4c231a5b2a36ea4d,28 days 09:57:38.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,136134,443b0fd0860c21b6,1cbc28f8257ccef0,11a213398ee0c623,4c231a5b2a36ea4d,28 days 10:04:12.000000000
Train_12939,42573d7287a8c9c2,,6ee790756007e69a,27740,f67d4b5a05a1352a,,,,23 days 22:21:46.000000000
Train_12939,42573d7287a8c9c2,,6ee790756007e69a,30746,f67d4b5a05a1352a,,,,23 days 22:28:25.000000000
Train_12939,71b24e4fd9a658ee,b2e7fa260df4998d,4c8524fb01d8b204,36689,2a2edd435db5ac70,eb1fc15df8c11814,2a2edd435db5ac70,3b03450a71391348,23 days 22:29:04.000000000
Train_12939,71b24e4fd9a658ee,b2e7fa260df4998d,4c8524fb01d8b204,30746,2a2edd435db5ac70,eb1fc15df8c11814,2a2edd435db5ac70,3b03450a71391348,23 days 22:28:25.000000000
Train_12939,71b24e4fd9a658ee,b2e7fa260df4998d,4c8524fb01d8b204,36689,2a2edd435db5ac70,eb1fc15df8c11814,2a2edd435db5ac70,3b03450a71391348,23 days 22:28:25.000000000
Train_12939,42573d7287a8c9c2,,6ee790756007e69a,24816,f67d4b5a05a1352a,,,,23 days 22:29:06.000000000
Train_12939,42573d7287a8c9c2,,6ee790756007e69a,30746,f67d4b5a05a1352a,,,,23 days 22:29:05.000000000
Train_12939,71b24e4fd9a658ee,b2e7fa260df4998d,4c8524fb01d8b204,30746,2a2edd435db5ac70,eb1fc15df8c11814,2a2edd435db5ac70,3b03450a71391348,23 days 22:29:04.000000000
Train_12939,42573d7287a8c9c2,,6ee790756007e69a,30746,f67d4b5a05a1352a,,,,23 days 22:22:00.000000000
Train_12939,42573d7287a8c9c2,,6ee790756007e69a,24846,f67d4b5a05a1352a,,,,23 days 22:28:26.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,54093,19d44f1a51919482,eb1fc15df8c11814,11a213398ee0c623,3b03450a71391348,23 days 22:21:32.000000000
Train_12939,42573d7287a8c9c2,,6ee790756007e69a,30746,f67d4b5a05a1352a,,,,24 days 07:48:49.000000000
Train_12939,42573d7287a8c9c2,,6ee790756007e69a,36689,f67d4b5a05a1352a,,,,24 days 07:49:07.000000000
Train_12939,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,31643,19d44f1a51919482,eb1fc15df8c11814,11a213398ee0c623,3b03450a71391348,24 days 07:56:36.000000000
Train_46869,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,24767,19d44f1a51919482,c2e4d2546f8e48b3,11a213398ee0c623,32a18254a35cb181,19 days 18:31:06.000000000
Train_46869,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,29474,19d44f1a51919482,c2e4d2546f8e48b3,11a213398ee0c623,32a18254a35cb181,19 days 18:31:06.000000000
Train_46869,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,30746,19d44f1a51919482,c2e4d2546f8e48b3,11a213398ee0c623,32a18254a35cb181,19 days 18:31:06.000000000
Train_46869,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,54093,443b0fd0860c21b6,096e6ef9ecc089a2,11a213398ee0c623,c24f683a282baa1d,26 days 09:00:52.000000000
Train_46869,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,54093,45a1168437c708ff,,11a213398ee0c623,,26 days 09:02:11.000000000
Train_46869,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,50660,45a1168437c708ff,,11a213398ee0c623,,26 days 09:02:11.000000000
Train_46869,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,245231,45a1168437c708ff,,11a213398ee0c623,,26 days 09:02:11.000000000
Train_46869,42573d7287a8c9c2,,6ee790756007e69a,33139,f67d4b5a05a1352a,,,,21 days 16:20:09.000000000
Train_46869,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,219113,443b0fd0860c21b6,096e6ef9ecc089a2,11a213398ee0c623,c24f683a282baa1d,25 days 15:28:38.000000000
Train_46869,42573d7287a8c9c2,,6ee790756007e69a,30746,f67d4b5a05a1352a,,,,25 days 09:53:20.000000000
Train_46869,42573d7287a8c9c2,,6ee790756007e69a,36689,f67d4b5a05a1352a,,,,25 days 09:53:41.000000000
Train_46869,46c69cbbce5f1568,b2e7fa260df4998d,6ee790756007e69a,132104,45a1168437c708ff,,11a213398ee0c623,,29 days 09:37:50.000000000
